2025-12-16 10:50:13 | INFO     | DB_LOG     | Loading configuration...
2025-12-16 10:56:47 | INFO     | DB_LOG     | Loading configuration...
2025-12-16 11:01:45 | INFO     | DB_LOG     | Loading configuration...
2025-12-16 11:01:45 | INFO     | DB_LOG     | Connecting to: postgresql://sellit_user:497@db:5432/sellit_db ...
2025-12-16 11:01:45 | INFO     | DB_LOG     | ❌ Error connecting to database: password authentication failed for user "sellit_user"
2025-12-16 11:02:26 | INFO     | DB_LOG     | Loading configuration...
2025-12-16 11:02:26 | INFO     | DB_LOG     | Connecting to: postgresql://sellit_user:497@db:5432/sellit_db ...
2025-12-16 11:02:26 | INFO     | DB_LOG     | ❌ Error connecting to database: password authentication failed for user "sellit_user"
2025-12-16 11:04:47 | INFO     | DB_LOG     | Loading configuration...
2025-12-16 11:04:47 | INFO     | DB_LOG     | Connecting to: postgresql://sellit_user:0497@db:5432/sellit_db ...
2025-12-16 11:04:47 | INFO     | DB_LOG     | ✅ Success! Connected to PostgreSQL.
2025-12-16 11:04:47 | INFO     | DB_LOG     | Database/Version: PostgreSQL 18.1 on x86_64-pc-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
2025-12-16 11:04:47 | INFO     | DB_LOG     | Connection closed.
2025-12-16 11:05:51 | INFO     | DB_LOG     | Loading configuration...
2025-12-16 11:05:51 | INFO     | DB_LOG     | Connecting to: postgresql://sellit_user:0497@db:5432/sellit_db ...
2025-12-16 11:05:51 | INFO     | DB_LOG     | ✅ Success! Connected to PostgreSQL.
2025-12-16 11:05:51 | INFO     | DB_LOG     | Database/Version: PostgreSQL 18.1 on x86_64-pc-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
2025-12-16 11:05:51 | INFO     | DB_LOG     | Connection closed.
2025-12-16 11:08:13 | INFO     | DB_LOG     | Loading configuration...
2025-12-16 11:08:13 | INFO     | DB_LOG     | Connecting to: postgresql://sellit_user:@K4r7h1k0497@sellit_postgres:5432/sellit_db ...
2025-12-16 11:08:13 | INFO     | DB_LOG     | ❌ Error connecting to database: [Errno -2] Name or service not known
2025-12-16 11:08:57 | INFO     | DB_LOG     | Loading configuration...
2025-12-16 11:08:57 | INFO     | DB_LOG     | Connecting to: postgresql://sellit_user:@K4r7h1k0497@sellit_postgres:5432/sellit_db ...
2025-12-16 11:08:57 | INFO     | DB_LOG     | ❌ Error connecting to database: [Errno -2] Name or service not known
2025-12-16 11:10:30 | INFO     | DB_LOG     | Loading configuration...
2025-12-16 11:10:30 | INFO     | DB_LOG     | Connecting to: postgresql://sellit_user:%40K4r7h1k0497@sellit_postgres:5432/sellit_db ...
2025-12-16 11:10:30 | INFO     | DB_LOG     | ✅ Success! Connected to PostgreSQL.
2025-12-16 11:10:30 | INFO     | DB_LOG     | Database/Version: PostgreSQL 18.1 on x86_64-pc-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
2025-12-16 11:10:30 | INFO     | DB_LOG     | Connection closed.
2025-12-16 11:17:53 | INFO     | DB_LOG     | Loading configuration...
2025-12-16 11:19:35 | INFO     | DB_LOG     | Loading configuration...
2025-12-16 11:19:35 | INFO     | DB_LOG     | Connecting to: postgresql://sellit_user:%40K4r7h1k0497@sellit_postgres:5432/sellit_db ...
2025-12-16 11:19:35 | INFO     | DB_LOG     | ❌ Error connecting to database: password authentication failed for user "sellit_user"
2025-12-16 11:21:22 | INFO     | DB_LOG     | Loading configuration...
2025-12-16 11:21:22 | INFO     | DB_LOG     | Connecting to: postgresql://sellit_user:%40K4r7h1k0497@sellit_postgres:5432/sellit_db ...
2025-12-16 11:21:22 | INFO     | DB_LOG     | ✅ Success! Connected to PostgreSQL.
2025-12-16 11:21:22 | INFO     | DB_LOG     | Database/Version: PostgreSQL 18.1 on x86_64-pc-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
2025-12-16 11:21:22 | INFO     | DB_LOG     | Connection closed.
2025-12-16 11:21:59 | INFO     | DB_LOG     | Loading configuration...
2025-12-16 11:21:59 | INFO     | DB_LOG     | Connecting to: postgresql://sellit_user:%40K4r7h1k0497@sellit_postgres:5432/sellit_db ...
2025-12-16 11:21:59 | INFO     | DB_LOG     | ✅ Success! Connected to PostgreSQL.
2025-12-16 11:21:59 | INFO     | DB_LOG     | Database/Version: PostgreSQL 18.1 on x86_64-pc-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
2025-12-16 11:21:59 | INFO     | DB_LOG     | Connection closed.
